date,agency,subject,message
11/4/22 11:59 PM,NYC,"BKLYN, N and R Trains, Delays",Southbound N/R trains are delayed while we request EMS assistance for a person in need at 59 St (Brooklyn).
11/4/22 11:56 PM,NYC,"MANH, 2 and 3 Trains, Delays",Southbound 2/3 trains are delayed while we address a door problem on a train at 116 St.
11/4/22 11:47 PM,NYC,"QNS, E, F, and R Trains, Delays",Northbound E/F/R trains are running with delays while we address a signal problem near Queens Plaza.
11/4/22 10:46 PM,NYC,"Update: MANH, A Train, Delays",Southbound A trains are running with delays after an NYPD investigation at 145 St concluded. Southbound A trains have resumed running on the local track from 168 St to 125 St.
11/4/22 10:25 PM,NYC,"Update: QNS, N Train, Delays",Southbound N trains are running with delays after we removed a train with a door problem from service at Broadway.
11/4/22 10:21 PM,NYC,"QNS, N Train, Delays",Southbound N trains are delayed while we remove a train with a door problem from service at Broadway.
11/4/22 10:20 PM,NYC,"MANH, A Train, Local to Express","Southbound A trains are running on the express track from 168 St to 125 St because of NYPD activity at 145 St. For service to/from bypassed stations, take a northbound train."
11/4/22 8:53 PM,NYC,"Update: MANH, QNS, 7 Train, Delays",7 trains are running with delays in both directions after we moved a train with a mechanical problem at 61 St-Woodside. 7 trains have resumed regular service in both directions.
11/4/22 8:50 PM,NYC,"MANH, QNS, 7 Train, Delays","34 St-Hudson Yards-bound 7 trains are express from 74 St to Queensboro Plaza. Flushing-bound 7 trains are local from Queensboro Plaza to 74 St. 7 trains are delayed while we move a train with a mechanical problem at 61 St-Woodside. For service to/from bypassed stations, take a Flushing-bound train."
11/4/22 8:36 PM,NYC,"MANH, QNS, 7 Train, Delays",Flushing-Main St-bound 7 trains are running with delays after we moved a train with a door problem at Times Sq-42 St.
